DISTRICT,REGION,tvi_pca,tvi_equal,tvi_pca_lisa_label,tvi_pca_gi_star,tvi_pca_gi_p,tvi_equal_lisa_label,tvi_equal_gi_star,tvi_equal_gi_p
TECHIMAN MUNICIPAL,BONO EAST,-1.9178267588538205,-0.9429049939792876,Not significant,0.43384804702832314,0.206,Not significant,0.642170726804003,0.069
UPPER DENKYIRA WEST,CENTRAL,-0.6651746411225452,-0.0654619335481742,Not significant,0.157564081259433,0.404,Not significant,0.07059465324085495,0.469
TECHIMAN NORTH,BONO EAST,-1.22441002223369,-0.6381210703518607,Not significant,0.39742543963569366,0.258,Not significant,0.6407691963683841,0.104
CAPE COAST METROPOLITAN,CENTRAL,-1.7368832752073031,-0.6335369781640763,Not significant,0.22675060048430618,0.47,Not significant,0.04962546773314069,0.332
KOMENDA-EDINA-EGUAFO-ABIREM MUNICIPAL,CENTRAL,0.0679552288480343,0.1980696196021046,Not significant,0.27067222504105454,0.25,Not significant,0.08820791102169774,0.396
BANDA,BONO,1.0955768833366093,0.3218421065844313,Not significant,-0.11836550983055046,0.454,Not significant,0.10133971194238894,0.357
SEFWI-WIAWSO,WESTERN NORTH,-0.459917430562289,-0.2700549757870396,Not significant,0.27125609143755375,0.219,Not significant,0.30837060112338677,0.195
JAMAN NORTH,BONO,-0.9128477796501612,-0.5910428757411442,Not significant,0.3461236527894738,0.273,Not significant,0.5996595088714806,0.125
ASUNAFO SOUTH,AHAFO,-0.5140933290342086,-0.0355447251041335,Not significant,0.2946297755148051,0.249,Not significant,0.3692692822444758,0.15
TAIN,BONO,-0.5324154844629101,-0.3590996213646515,Not significant,0.3009487067660342,0.245,Not significant,0.5166223048149142,0.101
NKORANZA SOUTH,BONO EAST,-0.9849092408898468,-0.5674940583556957,Not significant,0.355105774004496,0.271,Not significant,0.5292705641703156,0.181
SEKYERE KUMAWU,ASHANTI,-0.3134135942167989,-0.0580513686777953,Not significant,0.13981515104338788,0.394,Not significant,0.05118590849609287,0.488
BOLE,SAVANNAH,1.7859872961265308,0.5541979101878711,High-High,-1.1288704910422438,0.008,High-High,-1.0221688748304285,0.003
SEKYERE AFRAM PLAINS NORTH,ASHANTI,1.1878499932964517,0.685922135333592,Not significant,-0.11031675391790671,0.458,Not significant,-0.152056252528117,0.444
ASANTE AKIM NORTH,ASHANTI,-0.8923617332198177,-0.3157801558517634,Not significant,0.2551890532785803,0.325,Not significant,0.21557951971081885,0.389
ASANTE AKIM CENTRAL MUNICIPAL,ASHANTI,-1.2063983418749018,-0.5533738930987958,Not significant,0.468314548492378,0.125,Not significant,0.47455242847683204,0.124
KINTAMPO NORTH MUNICIPAL,BONO EAST,0.6392700578729897,0.1288967384383452,High-High,-0.8238052253349939,0.043,High-High,-0.739729894383366,0.032
ASOKORE MAMPONG MUNICIPAL,ASHANTI,-1.602513566186329,-0.692939010999574,Low-Low,0.9773859687704279,0.008,Low-Low,1.0223129699496052,0.003
ATEBUBU AMANTIN,BONO EAST,-0.0377423324057842,-0.1308818982192754,Not significant,-0.08979772025513508,0.381,Not significant,-0.061496838369978074,0.353
